0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
16.9Mbits/sec,16.7Mbits/sec,18.8Mbits/sec,23.5Mbits/sec,30.8Mbits/sec,38.1Mbits/sec,44.8Mbits/sec,45.9Mbits/sec,49.5Mbits/sec,48.0Mbits/sec
2.85Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,3.13Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
3.80Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,5.21Mbits/sec,1.04Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
2.83Mbits/sec,2.08Mbits/sec,5.74Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,1.04Mbits/sec,2.08Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.08Mbits/sec
4.60Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,3.13Mbits/sec,1.04Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
15.2Mbits/sec,9.38Mbits/sec,12.5Mbits/sec,14.1Mbits/sec,16.2Mbits/sec,20.9Mbits/sec,24.5Mbits/sec,31.8Mbits/sec,42.7Mbits/sec,47.4Mbits/sec
48.2Mbits/sec,50.6Mbits/sec,49.5Mbits/sec,52.7Mbits/sec,45.3Mbits/sec,48.0Mbits/sec,51.6Mbits/sec,43.3Mbits/sec,50.0Mbits/sec,42.7Mbits/sec
5.83Mbits/sec,3.13Mbits/sec,4.17Mbits/sec,4.17Mbits/sec,8.34Mbits/sec,10.4Mbits/sec,2.61Mbits/sec,5.21Mbits/sec,5.21Mbits/sec,2.61Mbits/sec
4.71Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
3.85Mbits/sec,1.04Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,4.69Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
3.88Mbits/sec,1.62Mbits/sec,2.43Mbits/sec,2.78Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.08Mbits/sec
5.51Mbits/sec,3.13Mbits/sec,4.17Mbits/sec,4.17Mbits/sec,4.17Mbits/sec,10.4Mbits/sec,4.17Mbits/sec,4.17Mbits/sec,4.17Mbits/sec,2.08Mbits/sec
43.4Mbits/sec,46.9Mbits/sec,49.0Mbits/sec,48.0Mbits/sec,50.0Mbits/sec,46.9Mbits/sec,46.9Mbits/sec,47.4Mbits/sec,53.2Mbits/sec,45.9Mbits/sec
3.59Mbits/sec,1.85Mbits/sec,1.85Mbits/sec,2.43Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,2.09Mbits/sec
3.75Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,22.4Mbits/sec,4.69Mbits/sec,4.69Mbits/sec,4.69Mbits/sec,0.00bits/sec,4.69Mbits/sec
4.71Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
3.87Mbits/sec,1.04Mbits/sec,2.08Mbits/sec,6.26Mbits/sec,4.69Mbits/sec,1.56Mbits/sec,1.56Mbits/sec,3.13Mbits/sec,1.56Mbits/sec,1.56Mbits/sec
3.87Mbits/sec,2.09Mbits/sec,4.17Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
52.1Mbits/sec,45.9Mbits/sec,49.5Mbits/sec,51.6Mbits/sec,45.9Mbits/sec,48.0Mbits/sec,47.4Mbits/sec,45.9Mbits/sec,46.9Mbits/sec,52.7Mbits/sec
3.85Mbits/sec,1.04Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,5.21Mbits/sec,1.04Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
3.31Mbits/sec,2.71Mbits/sec,1.81Mbits/sec,2.92Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
