file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-13.94,13.00-14.00,14.00-15.00,15.00-16.00,16.00-16.11,16.00-17.00,17.00-17.55,12.00-12.66,12.00-12.63,14.00-14.36,17.00-18.00,18.00-19.00,19.00-20.00,20.00-20.19,20.00-21.00,21.00-21.50,19.00-19.42,14.00-14.59,16.00-16.60,18.00-18.65,20.00-20.25,13.00-13.98,14.00-14.16,13.00-13.96,14.00-14.49,20.00-20.51,16.00-16.54,16.00-16.10,14.00-14.20,12.00-12.58,11.00-11.15,14.00-14.14
iperf3_result_20231019172938.txt,116Kbits/sec,0.00bits/sec,336Kbits/sec,718Kbits/sec,486Kbits/sec,0.00bits/sec,301Kbits/sec,11.6Kbits/sec,34.7Kbits/sec,11.6Kbits/sec,180Kbits/sec,10.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172736.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,232Kbits/sec,463Kbits/sec,765Kbits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,81.1Kbits/sec,0.00bits/sec,>= 11.00,92.7Kbits/sec,0.00bits/sec,,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173158.txt,10.9Mbits/sec,15.0Mbits/sec,15.7Mbits/sec,14.9Mbits/sec,16.0Mbits/sec,18.5Mbits/sec,6.57Mbits/sec,6.85Mbits/sec,1.55Mbits/sec,5.17Mbits/sec,9.86Mbits/sec,10.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171607.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,232Kbits/sec,428Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,11.6Kbits/sec,487Kbits/sec,,0.00bits/sec,0.00bits/sec,0.00bits/sec,,0.00bits/sec,21.2Kbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173012.txt,45.4Mbits/sec,39.0Mbits/sec,40.3Mbits/sec,46.7Mbits/sec,46.7Mbits/sec,17.2Mbits/sec,0.00bits/sec,9.11Mbits/sec,5.75Mbits/sec,22.5Mbits/sec,26.0Mbits/sec,10.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172330.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,,,,,,,,,17.6Kbits/sec,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171942.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,11.6Kbits/sec,,81.1Kbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172250.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,11.6Kbits/sec,,,,,,,,,,129Kbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171759.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,232Kbits/sec,463Kbits/sec,23.2Kbits/sec,116Kbits/sec,23.2Kbits/sec,116Kbits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,0.00bits/sec,,,,,,,,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172046.txt,0.00bits/sec,0.00bits/sec,104Kbits/sec,0.00bits/sec,359Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,0.00bits/sec,0.00bits/sec,0.00bits/sec,,0.00bits/sec,,,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,
