file,0.00-1.02,1.02-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-1.00,1.00-2.00,0.00-1.03,1.03-2.00,0.00-2.35,2.35-3.00,0.00-1.04,1.04-2.00,0.00-2.52,2.52-3.00,0.00-15.94,0.00-1.01,1.01-2.00,0.00-2.44,2.44-3.00,0.00-2.36,2.36-3.00,0.00-2.49,2.49-3.00,0.00-6.29,6.29-7.00,0.00-2.34,2.34-3.00,0.00-2.45,2.45-3.00
iperf3_result_20231019173250.txt,,,20.3Mbits/sec,13.0Mbits/sec,23.5Mbits/sec,18.8Mbits/sec,20.2Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,19.6Mbits/sec,17.7Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173044.txt,,,10.4Mbits/sec,9.38Mbits/sec,13.0Mbits/sec,10.4Mbits/sec,12.5Mbits/sec,8.34Mbits/sec,12.5Mbits/sec,13.0Mbits/sec,7.11Mbits/sec,9.38Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171928.txt,769Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173332.txt,,,20.3Mbits/sec,20.3Mbits/sec,16.7Mbits/sec,19.1Mbits/sec,0.00bits/sec,9.58Mbits/sec,19.8Mbits/sec,10.4Mbits/sec,18.6Mbits/sec,20.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172011.txt,,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,317Kbits/sec,0.00bits/sec
iperf3_result_20231019172617.txt,793Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171437.txt,616Kbits/sec,0.00bits/sec,765Kbits/sec,0.00bits/sec,0.00bits/sec,695Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171609.txt,611Kbits/sec,0.00bits/sec,765Kbits/sec,1.53Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171755.txt,,,765Kbits/sec,1.27Mbits/sec,1.64Mbits/sec,0.00bits/sec,0.00bits/sec,1.74Mbits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,617Kbits/sec,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019171543.txt,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,787Kbits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172936.txt,,,41.9Mbits/sec,31.5Mbits/sec,52.4Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,42.0Mbits/sec,31.5Mbits/sec,18.8Mbits/sec,39.9Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173023.txt,,,10.4Mbits/sec,12.5Mbits/sec,12.5Mbits/sec,9.38Mbits/sec,10.4Mbits/sec,10.4Mbits/sec,11.5Mbits/sec,13.6Mbits/sec,13.1Mbits/sec,13.0Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172659.txt,843Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173209.txt,,,17.2Mbits/sec,21.9Mbits/sec,18.2Mbits/sec,20.9Mbits/sec,0.00bits/sec,9.51Mbits/sec,0.00bits/sec,9.78Mbits/sec,24.1Mbits/sec,19.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173034.txt,,,8.34Mbits/sec,6.26Mbits/sec,6.26Mbits/sec,8.34Mbits/sec,8.34Mbits/sec,10.4Mbits/sec,8.34Mbits/sec,13.6Mbits/sec,17.3Mbits/sec,10.4Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172841.txt,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,760Kbits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019171633.txt,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,440Kbits/sec,938Kbits/sec,0.00bits/sec,1.66Mbits/sec,1.56Mbits/sec,,,822Kbits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172925.txt,,,30.2Mbits/sec,21.0Mbits/sec,42.0Mbits/sec,73.4Mbits/sec,41.9Mbits/sec,52.4Mbits/sec,31.5Mbits/sec,31.4Mbits/sec,29.2Mbits/sec,24.5Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172717.txt,615Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172059.txt,774Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173219.txt,,,21.9Mbits/sec,18.2Mbits/sec,22.9Mbits/sec,18.6Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,15.4Mbits/sec,19.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172926.txt,,,0.00bits/sec,4.19Mbits/sec,1.56Mbits/sec,0.00bits/sec,1.63Mbits/sec,4.20Mbits/sec,0.00bits/sec,0.00bits/sec,4.38Mbits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172310.txt,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,760Kbits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019173230.txt,,,20.9Mbits/sec,20.3Mbits/sec,16.7Mbits/sec,19.8Mbits/sec,19.8Mbits/sec,0.00bits/sec,9.64Mbits/sec,0.00bits/sec,19.9Mbits/sec,16.7Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
