file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-13.94,12.00-12.36,11.00-11.06,13.00-14.00,14.00-14.70,13.00-13.96,13.00-13.98,14.00-14.20,14.00-14.40,14.00-14.16,13.00-13.78,11.00-11.03,14.00-15.00,15.00-16.00,16.00-16.50,13.00-13.95
iperf3_result_20231019173301.txt,76.7Mbits/sec,81.4Mbits/sec,82.3Mbits/sec,80.3Mbits/sec,80.6Mbits/sec,78.7Mbits/sec,75.2Mbits/sec,87.1Mbits/sec,89.3Mbits/sec,85.6Mbits/sec,107Mbits/sec,10.07,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173116.txt,80.1Mbits/sec,85.0Mbits/sec,81.3Mbits/sec,87.5Mbits/sec,85.5Mbits/sec,83.8Mbits/sec,79.3Mbits/sec,83.1Mbits/sec,79.1Mbits/sec,79.4Mbits/sec,76.3Mbits/sec,10.18,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173311.txt,74.3Mbits/sec,83.3Mbits/sec,76.0Mbits/sec,78.6Mbits/sec,80.5Mbits/sec,75.6Mbits/sec,73.7Mbits/sec,70.5Mbits/sec,63.8Mbits/sec,61.5Mbits/sec,53.5Mbits/sec,10.19,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172231.txt,0.00bits/sec,9.96Mbits/sec,9.24Mbits/sec,9.66Mbits/sec,8.26Mbits/sec,9.29Mbits/sec,8.95Mbits/sec,6.74Mbits/sec,9.29Mbits/sec,9.02Mbits/sec,9.19Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019172637.txt,0.00bits/sec,9.00Mbits/sec,9.09Mbits/sec,8.77Mbits/sec,7.90Mbits/sec,9.85Mbits/sec,9.13Mbits/sec,10.1Mbits/sec,8.22Mbits/sec,10.2Mbits/sec,8.79Mbits/sec,>= 11.00,11.6Kbits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019171855.txt,0.00bits/sec,9.55Mbits/sec,9.29Mbits/sec,9.74Mbits/sec,10.0Mbits/sec,9.81Mbits/sec,7.63Mbits/sec,7.58Mbits/sec,9.79Mbits/sec,9.38Mbits/sec,8.03Mbits/sec,>= 11.00,34.7Kbits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019171935.txt,0.00bits/sec,8.90Mbits/sec,9.75Mbits/sec,9.88Mbits/sec,9.46Mbits/sec,9.73Mbits/sec,9.36Mbits/sec,9.65Mbits/sec,8.80Mbits/sec,8.78Mbits/sec,9.24Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,0.00bits/sec,,,,0.00bits/sec,,,,,,,,
iperf3_result_20231019173105.txt,68.8Mbits/sec,81.4Mbits/sec,78.5Mbits/sec,84.6Mbits/sec,78.0Mbits/sec,75.2Mbits/sec,67.3Mbits/sec,66.1Mbits/sec,62.8Mbits/sec,67.5Mbits/sec,69.0Mbits/sec,10.26,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172742.txt,0.00bits/sec,8.56Mbits/sec,8.40Mbits/sec,8.64Mbits/sec,8.14Mbits/sec,8.59Mbits/sec,8.46Mbits/sec,9.85Mbits/sec,8.35Mbits/sec,9.59Mbits/sec,8.27Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019171539.txt,0.00bits/sec,9.74Mbits/sec,9.39Mbits/sec,8.43Mbits/sec,9.55Mbits/sec,9.00Mbits/sec,8.94Mbits/sec,8.76Mbits/sec,7.88Mbits/sec,8.26Mbits/sec,8.09Mbits/sec,>= 11.00,23.1Kbits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,0.00bits/sec,,,,,,,
