file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-12.00,12.00-13.00,13.00-14.00,11.00-11.66,11.00-11.51,11.00-11.23,13.00-13.31,11.00-11.06,11.00-11.11
iperf3_result_20231019154647.txt,9.77MBytes,11.2MBytes,9.83MBytes,11.6MBytes,12.1MBytes,12.7MBytes,10.7MBytes,10.7MBytes,9.83MBytes,4.69MBytes,2.44MBytes,10.59,,,,,,,,,,
iperf3_result_20231019154451.txt,9.36MBytes,9.49MBytes,7.00MBytes,7.61MBytes,9.95MBytes,10.1MBytes,9.22MBytes,9.37MBytes,11.2MBytes,12.6MBytes,3.48MBytes,10.28,,,,,,,,,,
iperf3_result_20231019160119.txt,10.9MBytes,9.27MBytes,3.11MBytes,2.49MBytes,2.11MBytes,2.74MBytes,8.27MBytes,12.9MBytes,12.9MBytes,10.7MBytes,0.00Bytes,>= 11.00,,0.00Bytes,0.00Bytes,0.00Bytes,,,,,,
iperf3_result_20231019155820.txt,10.8MBytes,11.4MBytes,7.37MBytes,3.55MBytes,3.24MBytes,5.14MBytes,3.04MBytes,2.87MBytes,2.29MBytes,3.06MBytes,427KBytes,10.15,,,,,,,,,,
iperf3_result_20231019154929.txt,9.71MBytes,9.31MBytes,9.84MBytes,9.84MBytes,10.1MBytes,10.3MBytes,10.8MBytes,9.34MBytes,8.90MBytes,10.8MBytes,3.69MBytes,10.44,,,,,,,,,,
iperf3_result_20231019155809.txt,2.81MBytes,3.02MBytes,1.66MBytes,2.56MBytes,1.85MBytes,2.42MBytes,3.17MBytes,2.90MBytes,2.71MBytes,2.92MBytes,5.97MBytes,10.69,,,,,,,,,,
iperf3_result_20231019155002.txt,9.22MBytes,9.08MBytes,8.52MBytes,10.1MBytes,10.8MBytes,9.52MBytes,8.20MBytes,8.28MBytes,6.90MBytes,8.36MBytes,3.69MBytes,10.40,,,,,,,,,,
iperf3_result_20231019154532.txt,9.89MBytes,10.6MBytes,10.3MBytes,9.45MBytes,10.4MBytes,11.0MBytes,11.8MBytes,12.9MBytes,12.8MBytes,11.8MBytes,1.55MBytes,10.13,,,,,,,,,,
iperf3_result_20231019154730.txt,8.15MBytes,9.27MBytes,8.80MBytes,7.39MBytes,7.28MBytes,8.66MBytes,8.01MBytes,7.67MBytes,7.90MBytes,7.63MBytes,3.02MBytes,10.38,,,,,,,,,,
iperf3_result_20231019155413.txt,7.41MBytes,9.77MBytes,9.88MBytes,10.3MBytes,9.83MBytes,8.93MBytes,9.19MBytes,8.79MBytes,10.3MBytes,11.5MBytes,2.75MBytes,10.26,,,,,,,,,,
iperf3_result_20231019154636.txt,10.1MBytes,11.4MBytes,11.1MBytes,9.18MBytes,9.57MBytes,12.3MBytes,11.9MBytes,12.9MBytes,12.0MBytes,10.6MBytes,3.24MBytes,10.27,,,,,,,,,,
iperf3_result_20231019154409.txt,9.29MBytes,10.3MBytes,10.6MBytes,9.42MBytes,9.07MBytes,9.99MBytes,10.8MBytes,11.3MBytes,11.0MBytes,10.7MBytes,1.80MBytes,10.19,,,,,,,,,,
iperf3_result_20231019155703.txt,1.80MBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,3.66MBytes,5.88MBytes,3.56MBytes,>= 11.00,,,,,3.82MBytes,,,,,
iperf3_result_20231019155715.txt,9.58MBytes,6.25MBytes,5.67MBytes,6.69MBytes,6.81MBytes,6.81MBytes,6.90MBytes,6.69MBytes,5.29MBytes,2.87MBytes,2.46MBytes,>= 11.00,,,,,,1.51MBytes,,,,
iperf3_result_20231019154543.txt,10.7MBytes,11.3MBytes,10.4MBytes,11.4MBytes,11.2MBytes,10.1MBytes,10.5MBytes,11.4MBytes,11.9MBytes,11.4MBytes,2.69MBytes,10.30,,,,,,,,,,
iperf3_result_20231019154741.txt,5.24MBytes,5.82MBytes,5.72MBytes,6.01MBytes,5.58MBytes,6.20MBytes,6.17MBytes,5.65MBytes,5.42MBytes,5.49MBytes,2.69MBytes,10.55,,,,,,,,,,
iperf3_result_20231019155648.txt,9.36MBytes,8.85MBytes,2.42MBytes,3.25MBytes,2.49MBytes,2.14MBytes,2.34MBytes,2.22MBytes,1.38MBytes,1.79MBytes,1.21MBytes,>= 11.00,,,,,,,447KBytes,,,
iperf3_result_20231019155728.txt,8.30MBytes,11.0MBytes,4.63MBytes,3.42MBytes,3.51MBytes,3.57MBytes,3.57MBytes,3.49MBytes,3.71MBytes,5.10MBytes,379KBytes,10.09,,,,,,,,,,
