file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.18,11.00-11.04,11.00-11.00,11.00-11.05,11.00-11.22,11.00-11.02,11.00-11.07,11.00-11.24,11.00-11.12,11.00-11.10,11.00-12.00,12.00-12.54,11.00-11.17,11.00-11.77,11.00-11.01,11.00-11.15,11.00-11.11,11.00-11.13,11.00-11.14,11.00-11.08,11.00-11.21,11.00-11.03,11.00-11.16,11.00-11.23,11.00-11.20,11.00-11.09,11.00-11.48,11.00-11.06,11.00-11.19,11.00-11.26,11.00-11.32,11.00-11.34,11.00-11.52
iperf3_result_20231019154038.txt,45.6Mbits/sec,44.0Mbits/sec,44.7Mbits/sec,46.2Mbits/sec,48.3Mbits/sec,49.3Mbits/sec,49.2Mbits/sec,47.4Mbits/sec,46.8Mbits/sec,49.8Mbits/sec,48.0Mbits/sec,>= 11.00,,,,,,,53.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154158.txt,38.3Mbits/sec,31.1Mbits/sec,45.6Mbits/sec,44.4Mbits/sec,40.9Mbits/sec,43.2Mbits/sec,41.2Mbits/sec,38.4Mbits/sec,47.4Mbits/sec,44.5Mbits/sec,33.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,32.8Mbits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019153609.txt,45.6Mbits/sec,50.3Mbits/sec,46.4Mbits/sec,46.0Mbits/sec,47.9Mbits/sec,50.6Mbits/sec,46.9Mbits/sec,50.2Mbits/sec,50.0Mbits/sec,47.7Mbits/sec,37.5Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8Mbits/sec,,,,,,
iperf3_result_20231019153621.txt,41.5Mbits/sec,47.7Mbits/sec,45.6Mbits/sec,41.0Mbits/sec,48.7Mbits/sec,43.1Mbits/sec,44.2Mbits/sec,49.4Mbits/sec,37.9Mbits/sec,46.8Mbits/sec,48.6Mbits/sec,>= 11.00,,53.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154210.txt,30.7Mbits/sec,30.9Mbits/sec,30.6Mbits/sec,35.0Mbits/sec,33.1Mbits/sec,37.3Mbits/sec,33.5Mbits/sec,39.9Mbits/sec,50.3Mbits/sec,53.0Mbits/sec,51.7Mbits/sec,>= 11.00,,,32.5Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154946.txt,43.1Mbits/sec,43.0Mbits/sec,45.2Mbits/sec,51.0Mbits/sec,47.0Mbits/sec,44.6Mbits/sec,42.2Mbits/sec,45.5Mbits/sec,48.0Mbits/sec,43.0Mbits/sec,50.6Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,73.1Mbits/sec,,,,,,,,,,,
iperf3_result_20231019155127.txt,88.1Mbits/sec,96.5Mbits/sec,72.2Mbits/sec,97.9Mbits/sec,91.8Mbits/sec,96.4Mbits/sec,92.9Mbits/sec,98.5Mbits/sec,96.2Mbits/sec,83.5Mbits/sec,83.8Mbits/sec,>= 11.00,96.6Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153813.txt,45.8Mbits/sec,48.5Mbits/sec,49.4Mbits/sec,40.4Mbits/sec,46.8Mbits/sec,48.8Mbits/sec,49.7Mbits/sec,49.5Mbits/sec,50.1Mbits/sec,48.1Mbits/sec,47.9Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0Mbits/sec,,,,,
iperf3_result_20231019154615.txt,49.5Mbits/sec,51.7Mbits/sec,49.3Mbits/sec,47.7Mbits/sec,49.0Mbits/sec,52.8Mbits/sec,51.6Mbits/sec,49.9Mbits/sec,50.5Mbits/sec,49.4Mbits/sec,48.8Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,72.9Mbits/sec,,,,,,,,,,,
iperf3_result_20231019155043.txt,50.3Mbits/sec,50.9Mbits/sec,51.3Mbits/sec,45.8Mbits/sec,50.9Mbits/sec,52.7Mbits/sec,46.3Mbits/sec,41.7Mbits/sec,43.3Mbits/sec,46.7Mbits/sec,45.3Mbits/sec,>= 11.00,,,,,,,,,,,,,36.5Mbits/sec,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154016.txt,42.1Mbits/sec,48.7Mbits/sec,47.5Mbits/sec,45.3Mbits/sec,43.3Mbits/sec,47.1Mbits/sec,44.9Mbits/sec,44.6Mbits/sec,45.9Mbits/sec,42.8Mbits/sec,43.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8Mbits/sec,,,,
iperf3_result_20231019153751.txt,40.7Mbits/sec,47.0Mbits/sec,48.3Mbits/sec,45.5Mbits/sec,47.9Mbits/sec,48.3Mbits/sec,50.0Mbits/sec,47.2Mbits/sec,39.1Mbits/sec,56.6Mbits/sec,95.8Mbits/sec,>= 11.00,,,,,,,87.1Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153547.txt,44.2Mbits/sec,48.6Mbits/sec,48.4Mbits/sec,44.1Mbits/sec,40.4Mbits/sec,47.3Mbits/sec,47.7Mbits/sec,42.0Mbits/sec,49.3Mbits/sec,47.4Mbits/sec,40.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4Mbits/sec,,,
iperf3_result_20231019154412.txt,46.9Mbits/sec,50.7Mbits/sec,51.0Mbits/sec,49.2Mbits/sec,51.5Mbits/sec,49.9Mbits/sec,49.8Mbits/sec,50.9Mbits/sec,45.5Mbits/sec,51.8Mbits/sec,48.7Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8Mbits/sec,,,,,
iperf3_result_20231019153802.txt,43.2Mbits/sec,45.2Mbits/sec,40.8Mbits/sec,48.9Mbits/sec,45.7Mbits/sec,48.6Mbits/sec,46.8Mbits/sec,45.5Mbits/sec,43.5Mbits/sec,45.5Mbits/sec,47.2Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,45.1Mbits/sec,,,,,,,
iperf3_result_20231019154604.txt,48.8Mbits/sec,48.5Mbits/sec,48.1Mbits/sec,48.0Mbits/sec,50.2Mbits/sec,50.4Mbits/sec,47.0Mbits/sec,45.1Mbits/sec,51.6Mbits/sec,49.6Mbits/sec,51.7Mbits/sec,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155054.txt,90.0Mbits/sec,93.5Mbits/sec,84.7Mbits/sec,95.2Mbits/sec,83.9Mbits/sec,66.1Mbits/sec,85.6Mbits/sec,93.8Mbits/sec,98.6Mbits/sec,94.8Mbits/sec,92.2Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,90.6Mbits/sec,,,,,,,
