file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-1.01,1.01-2.00
iperf3_result_20231019174503.txt,39.2Mbits/sec,24.3Mbits/sec,22.1Mbits/sec,25.2Mbits/sec,24.4Mbits/sec,23.2Mbits/sec,22.7Mbits/sec,23.4Mbits/sec,24.0Mbits/sec,23.4Mbits/sec,,
iperf3_result_20231019174259.txt,23.6Mbits/sec,38.2Mbits/sec,29.1Mbits/sec,24.4Mbits/sec,23.3Mbits/sec,24.1Mbits/sec,24.6Mbits/sec,19.4Mbits/sec,18.9Mbits/sec,23.5Mbits/sec,,
iperf3_result_20231019175151.txt,39.6Mbits/sec,49.5Mbits/sec,47.6Mbits/sec,46.9Mbits/sec,48.5Mbits/sec,48.6Mbits/sec,48.5Mbits/sec,48.4Mbits/sec,48.7Mbits/sec,44.2Mbits/sec,,
iperf3_result_20231019173911.txt,28.0Mbits/sec,52.9Mbits/sec,41.2Mbits/sec,24.2Mbits/sec,24.0Mbits/sec,24.0Mbits/sec,24.6Mbits/sec,26.2Mbits/sec,24.3Mbits/sec,22.4Mbits/sec,,
iperf3_result_20231019174105.txt,24.1Mbits/sec,40.6Mbits/sec,31.1Mbits/sec,24.5Mbits/sec,22.8Mbits/sec,23.6Mbits/sec,22.9Mbits/sec,23.0Mbits/sec,24.4Mbits/sec,24.2Mbits/sec,,
iperf3_result_20231019175019.txt,42.7Mbits/sec,38.4Mbits/sec,45.4Mbits/sec,42.2Mbits/sec,43.1Mbits/sec,46.5Mbits/sec,39.7Mbits/sec,43.5Mbits/sec,46.5Mbits/sec,43.1Mbits/sec,,
iperf3_result_20231019175232.txt,50.7Mbits/sec,51.8Mbits/sec,50.0Mbits/sec,49.5Mbits/sec,47.3Mbits/sec,47.0Mbits/sec,47.0Mbits/sec,48.6Mbits/sec,47.9Mbits/sec,48.5Mbits/sec,,
iperf3_result_20231019174845.txt,32.4Mbits/sec,23.8Mbits/sec,24.3Mbits/sec,23.9Mbits/sec,23.2Mbits/sec,37.7Mbits/sec,29.3Mbits/sec,36.1Mbits/sec,35.6Mbits/sec,28.0Mbits/sec,,
iperf3_result_20231019174514.txt,40.7Mbits/sec,26.4Mbits/sec,25.9Mbits/sec,24.5Mbits/sec,21.6Mbits/sec,23.6Mbits/sec,23.5Mbits/sec,25.0Mbits/sec,24.1Mbits/sec,23.4Mbits/sec,,
iperf3_result_20231019174003.txt,24.8Mbits/sec,32.0Mbits/sec,36.4Mbits/sec,24.7Mbits/sec,27.9Mbits/sec,23.6Mbits/sec,23.6Mbits/sec,24.1Mbits/sec,24.4Mbits/sec,23.2Mbits/sec,,
iperf3_result_20231019174639.txt,29.0Mbits/sec,24.6Mbits/sec,23.9Mbits/sec,23.1Mbits/sec,23.0Mbits/sec,25.9Mbits/sec,17.0Mbits/sec,16.5Mbits/sec,21.0Mbits/sec,17.7Mbits/sec,,
iperf3_result_20231019174412.txt,35.4Mbits/sec,28.0Mbits/sec,24.8Mbits/sec,23.8Mbits/sec,25.5Mbits/sec,22.4Mbits/sec,23.9Mbits/sec,23.7Mbits/sec,22.4Mbits/sec,23.9Mbits/sec,,
