file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-11.06,11.00-11.26,11.00-11.16,11.00-11.13,11.00-11.01,11.00-11.07,11.00-11.03,11.00-11.17,11.00-11.04,11.00-11.51,11.00-11.36,11.00-11.47,11.00-11.23,11.00-11.02,11.00-11.09
iperf3_result_20231019183255.txt,42.8Mbits/sec,49.2Mbits/sec,50.2Mbits/sec,48.3Mbits/sec,52.9Mbits/sec,48.0Mbits/sec,43.6Mbits/sec,53.0Mbits/sec,51.5Mbits/sec,51.6Mbits/sec,51.0Mbits/sec,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019182605.txt,41.0Mbits/sec,43.8Mbits/sec,46.0Mbits/sec,47.0Mbits/sec,44.7Mbits/sec,46.1Mbits/sec,49.1Mbits/sec,49.7Mbits/sec,48.4Mbits/sec,52.2Mbits/sec,51.3Mbits/sec,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019182412.txt,78.5Mbits/sec,87.5Mbits/sec,87.3Mbits/sec,93.4Mbits/sec,90.8Mbits/sec,92.7Mbits/sec,96.2Mbits/sec,91.1Mbits/sec,88.1Mbits/sec,93.6Mbits/sec,82.3Mbits/sec,>= 11.00,,,,78.2Mbits/sec,,,,,,,,,,,,
iperf3_result_20231019183042.txt,42.0Mbits/sec,47.7Mbits/sec,48.2Mbits/sec,48.5Mbits/sec,52.8Mbits/sec,51.4Mbits/sec,49.0Mbits/sec,45.5Mbits/sec,47.2Mbits/sec,51.0Mbits/sec,43.9Mbits/sec,>= 11.00,,,,,55.3Mbits/sec,,,,,,,,,,,
iperf3_result_20231019182638.txt,34.8Mbits/sec,42.6Mbits/sec,44.7Mbits/sec,44.2Mbits/sec,46.2Mbits/sec,44.4Mbits/sec,21.0Mbits/sec,19.1Mbits/sec,29.0Mbits/sec,45.4Mbits/sec,50.5Mbits/sec,>= 11.00,,,,,,105Mbits/sec,,,,,,,,,,
iperf3_result_20231019182957.txt,39.3Mbits/sec,47.4Mbits/sec,45.9Mbits/sec,43.6Mbits/sec,39.7Mbits/sec,51.2Mbits/sec,45.6Mbits/sec,46.5Mbits/sec,46.7Mbits/sec,50.1Mbits/sec,47.1Mbits/sec,>= 11.00,,,,,,,51.6Mbits/sec,,,,,,,,,
iperf3_result_20231019183530.txt,51.7Mbits/sec,47.2Mbits/sec,43.8Mbits/sec,51.3Mbits/sec,53.6Mbits/sec,50.6Mbits/sec,52.9Mbits/sec,48.6Mbits/sec,51.5Mbits/sec,53.3Mbits/sec,54.6Mbits/sec,10.95,,,,,,,,,,,,,,,,
iperf3_result_20231019183732.txt,47.7Mbits/sec,52.8Mbits/sec,51.2Mbits/sec,52.0Mbits/sec,52.2Mbits/sec,54.1Mbits/sec,49.9Mbits/sec,48.7Mbits/sec,52.2Mbits/sec,52.2Mbits/sec,52.0Mbits/sec,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019183519.txt,43.3Mbits/sec,51.4Mbits/sec,48.9Mbits/sec,51.5Mbits/sec,50.2Mbits/sec,52.6Mbits/sec,51.9Mbits/sec,53.7Mbits/sec,55.2Mbits/sec,53.3Mbits/sec,54.9Mbits/sec,10.95,,,,,,,,,,,,,,,,
iperf3_result_20231019183445.txt,50.4Mbits/sec,51.9Mbits/sec,55.2Mbits/sec,52.0Mbits/sec,51.4Mbits/sec,51.4Mbits/sec,54.6Mbits/sec,53.4Mbits/sec,54.3Mbits/sec,52.4Mbits/sec,55.4Mbits/sec,10.95,,,,,,,,,,,,,,,,
iperf3_result_20231019183350.txt,42.6Mbits/sec,47.9Mbits/sec,49.2Mbits/sec,51.5Mbits/sec,48.3Mbits/sec,51.6Mbits/sec,49.2Mbits/sec,49.2Mbits/sec,47.6Mbits/sec,51.2Mbits/sec,53.1Mbits/sec,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019183754.txt,50.6Mbits/sec,53.0Mbits/sec,53.3Mbits/sec,53.5Mbits/sec,51.5Mbits/sec,52.7Mbits/sec,48.8Mbits/sec,37.4Mbits/sec,47.7Mbits/sec,49.3Mbits/sec,53.3Mbits/sec,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019182339.txt,79.9Mbits/sec,92.2Mbits/sec,87.9Mbits/sec,95.3Mbits/sec,90.1Mbits/sec,94.3Mbits/sec,89.5Mbits/sec,93.7Mbits/sec,95.8Mbits/sec,88.9Mbits/sec,91.9Mbits/sec,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019182649.txt,38.3Mbits/sec,46.9Mbits/sec,46.8Mbits/sec,46.8Mbits/sec,47.9Mbits/sec,48.6Mbits/sec,47.8Mbits/sec,46.5Mbits/sec,51.3Mbits/sec,51.2Mbits/sec,54.6Mbits/sec,>= 11.00,108Mbits/sec,,,,,,,,,,,,,,,
iperf3_result_20231019183423.txt,49.5Mbits/sec,52.3Mbits/sec,55.3Mbits/sec,54.1Mbits/sec,52.3Mbits/sec,49.5Mbits/sec,52.9Mbits/sec,53.7Mbits/sec,42.9Mbits/sec,53.9Mbits/sec,50.3Mbits/sec,>= 11.00,,21.2Mbits/sec,,,,,,,,,,,,,,
iperf3_result_20231019182701.txt,31.8Mbits/sec,43.3Mbits/sec,48.3Mbits/sec,53.4Mbits/sec,51.4Mbits/sec,48.7Mbits/sec,48.5Mbits/sec,50.7Mbits/sec,51.9Mbits/sec,50.8Mbits/sec,54.7Mbits/sec,10.94,,,,,,,,,,,,,,,,
iperf3_result_20231019182924.txt,38.7Mbits/sec,45.8Mbits/sec,47.3Mbits/sec,49.3Mbits/sec,48.7Mbits/sec,51.4Mbits/sec,49.3Mbits/sec,42.6Mbits/sec,51.0Mbits/sec,51.4Mbits/sec,53.1Mbits/sec,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183233.txt,44.4Mbits/sec,50.0Mbits/sec,50.4Mbits/sec,51.0Mbits/sec,50.3Mbits/sec,49.4Mbits/sec,44.1Mbits/sec,49.0Mbits/sec,44.5Mbits/sec,44.0Mbits/sec,49.8Mbits/sec,>= 11.00,,,,,,,,43.1Mbits/sec,,,,,,,,
iperf3_result_20231019183019.txt,42.1Mbits/sec,49.9Mbits/sec,45.6Mbits/sec,43.7Mbits/sec,49.7Mbits/sec,51.0Mbits/sec,49.7Mbits/sec,49.8Mbits/sec,47.1Mbits/sec,47.9Mbits/sec,47.7Mbits/sec,>= 11.00,,,,,,,46.0Mbits/sec,,,,,,,,,
iperf3_result_20231019183743.txt,48.7Mbits/sec,49.3Mbits/sec,48.5Mbits/sec,52.8Mbits/sec,54.3Mbits/sec,51.5Mbits/sec,50.5Mbits/sec,51.1Mbits/sec,51.8Mbits/sec,53.8Mbits/sec,51.9Mbits/sec,>= 11.00,,,,,,53.6Mbits/sec,,,,,,,,,,
